№ п/п,Наименование / ФИО,Тип субъекта,Категория,ОГРН,ИНН,Основной вид деятельности,Регион,Район,Город,Населенный пункт,Вновь созданный,Дата включения в реестр,Дата исключения из реестра,Телефон,E-mail,WWW,Наличие лицензий,"Наличие заключенных договоров, контрактов","Производство инновационной, высокотехнологичной продукции",Участие в программах партнерства,Является социальным предприятием,Среднесписочная численность работников за предшествующий календарный год
6485,АЛЕКСАНЯН АРАИК ХАЧИКОВИЧ,Индивидуальный предприниматель,Микропредприятие,319502700083940,640402275007,41.20 Строительство жилых и нежилых зданий,50 - Московская область,,Город Раменское,Деревня Бояркино,Нет,10.10.2019,,,,,Нет,Нет,Нет,Нет,Нет,
6486,АЛЕКСАНЯН АРАМ ВАНИКОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,322623400021650,621902210078,41.20 Строительство жилых и нежилых зданий,62 - Рязанская область,,г Рязань,,Нет,10.07.2022,10.07.2023,,,,Нет,Нет,Нет,Нет,Нет,
6487,АЛЕКСАНЯН АРАМ ВАНИКОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,317623400026641,621902210078,41.20 Строительство жилых и нежилых зданий,62 - Рязанская область,,ГОРОД РЯЗАНЬ,,Нет,10.08.2017,10.09.2020,,,,Нет,Нет,Нет,Нет,Нет,
6488,АЛЕКСАНЯН АРМАН ВАЛЕРИКОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,316236700065282,231711682808,41.20 Строительство жилых и нежилых зданий,23 - Краснодарский край,,ГОРОД СОЧИ,СЕЛО ВЫСОКОЕ,Нет,01.08.2016,10.01.2020,,,,Нет,Нет,Нет,Нет,Нет,
6489,АЛЕКСАНЯН АРМАН ГАМЛЕТОВИЧ,Индивидуальный предприниматель,Микропредприятие,318774600075166,231136647306,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,ГОРОД ТРОИЦК,,Нет,10.03.2018,,,,,Нет,Нет,Нет,Нет,Нет,
6490,АЛЕКСАНЯН АРМАН ГРИШАЕВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,319237500327081,231130797866,41.20 Строительство жилых и нежилых зданий,23 - Краснодарский край,,ГОРОД КРАСНОДАР,ПОСЕЛОК ЛАЗУРНЫЙ,Нет,10.09.2019,10.01.2020,,,,Нет,Нет,Нет,Нет,Нет,
6491,АЛЕКСАНЯН АРМЕН КАРАПЕТОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,312143502000092,143525079741,41.20 Строительство жилых и нежилых зданий,14 - Республика Саха (Якутия),,ГОРОД ЯКУТСК,,Нет,01.08.2016,10.06.2019,,,,Нет,Нет,Нет,Нет,Нет,
6492,АЛЕКСАНЯН АРТАШЕС АНДРАНИКОВИЧ,Индивидуальный предприниматель,Микропредприятие,320715400011091,500202173000,41.20 Строительство жилых и нежилых зданий,50 - Московская область,,Город Раменское,Деревня Копнино,Нет,10.03.2020,,,,,Нет,Нет,Нет,Нет,Нет,
6493,АЛЕКСАНЯН АРУТЮН ОЛЕГОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,317332800029658,360409288923,41.20 Строительство жилых и нежилых зданий,50 - Московская область,,Город Котельники,,Нет,10.06.2017,10.08.2020,,,,Нет,Нет,Нет,Нет,Нет,
6494,АЛЕКСАНЯН АСКАНАЗ АГАДЗОРИ,Индивидуальный предприниматель,Не является субъектом МСП,320470400050550,471113939261,41.20 Строительство жилых и нежилых зданий,47 - Ленинградская область,ПОДПОРОЖСКИЙ РАЙОН,ГОРОД ПОДПОРОЖЬЕ,,Нет,10.09.2020,10.07.2022,,,,Нет,Нет,Нет,Нет,Нет,
6495,АЛЕКСАНЯН АШОТ СЕЙРАНОВИЧ,Индивидуальный предприниматель,Микропредприятие,319505300012960,692700208139,41.20 Строительство жилых и нежилых зданий,50 - Московская область,,ГОРОД МЫТИЩИ,ДЕРЕВНЯ ГРИБКИ,Нет,10.02.2019,,,,,Нет,Нет,Нет,Нет,Нет,
6496,АЛЕКСАНЯН ВАГАН КАМОЕВИЧ,Индивидуальный предприниматель,Микропредприятие,313236517000226,236504016647,41.20 Строительство жилых и нежилых зданий,23 - Краснодарский край,Туапсинский Район,,Поселок городского типа Джубга,Нет,01.08.2016,,,,,Нет,Нет,Нет,Нет,Нет,
6497,АЛЕКСАНЯН ВАНИК АРАРАТОВИЧ,Индивидуальный предприниматель,Микропредприятие,321619600193115,616711749111,41.20 Строительство жилых и нежилых зданий,61 - Ростовская область,Аксайский р-н,,п Красный,Нет,10.11.2021,,,,,Нет,Нет,Нет,Нет,Нет,
6498,АЛЕКСАНЯН ВАНИК РОБЕРТОВИЧ,Индивидуальный предприниматель,Микропредприятие,315565800018994,563701365776,41.20 Строительство жилых и нежилых зданий,56 - Оренбургская область,ОРЕНБУРГСКИЙ РАЙОН,,ХУТОР СТЕПАНОВСКИЙ,Нет,01.08.2016,,,,,Нет,Нет,Нет,Нет,Нет,
6499,АЛЕКСАНЯН ВАРДГЕС ЮРИКОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,320682000005164,682965786001,41.20 Строительство жилых и нежилых зданий,68 - Тамбовская область,,Город Тамбов,,Нет,10.01.2022,10.07.2023,,,,Нет,Нет,Нет,Нет,Нет,
6500,АЛЕКСАНЯН ГАГИК КАРЛЕНОВИЧ,Индивидуальный предприниматель,Микропредприятие,319332800032795,332807865807,41.20 Строительство жилых и нежилых зданий,33 - Владимирская область,,ГОРОД ВЛАДИМИР,,Нет,10.07.2019,,,,,Нет,Нет,Нет,Нет,Нет,
6501,АЛЕКСАНЯН ГАРЕГИН ГЕВОНДОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,318144700026782,142001634153,41.20 Строительство жилых и нежилых зданий,14 - Республика Саха (Якутия),ОЙМЯКОНСКИЙ УЛУС,,ПОСЕЛОК ГОРОДСКОГО ТИПА УСТЬ-НЕРА,Нет,10.06.2018,10.12.2018,,,,Нет,Нет,Нет,Нет,Нет,
6502,АЛЕКСАНЯН ГАРЕГИН ГЕВОНДОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,317144700040015,142001634153,41.20 Строительство жилых и нежилых зданий,14 - Республика Саха (Якутия),ОЙМЯКОНСКИЙ УЛУС,,ПОСЕЛОК ГОРОДСКОГО ТИПА УСТЬ-НЕРА,Нет,10.08.2017,10.02.2018,,,,Нет,Нет,Нет,Нет,Нет,
6503,АЛЕКСАНЯН ГАРИ ТАМАЗОВИЧ,Индивидуальный предприниматель,Микропредприятие,323774600468758,774318858458,41.10 Разработка строительных проектов,77 - г.Москва,,,,Да,10.08.2023,,,,,Нет,Нет,Нет,Нет,Нет,
6504,АЛЕКСАНЯН ГЕВОРГ АРМЕНОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,318527500105211,771981243078,41.20 Строительство жилых и нежилых зданий,52 - Нижегородская область,ВОЛОДАРСКИЙ РАЙОН,ГОРОД ВОЛОДАРСК,,Нет,10.09.2018,10.09.2019,,,,Нет,Нет,Нет,Нет,Нет,
6505,АЛЕКСАНЯН ГРАЙР ФИРДУСИЕВИЧ,Индивидуальный предприниматель,Микропредприятие,322774600103410,503624032281,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,Московский п,,,Нет,10.03.2022,,,,,Нет,Нет,Нет,Нет,Нет,
6506,АЛЕКСАНЯН ГРИШИК КОРЮНОВИЧ,Индивидуальный предприниматель,Микропредприятие,321265100031571,261909492605,41.20 Строительство жилых и нежилых зданий,26 - Ставропольский край,Советский р-н,г Зеленокумск,,Нет,10.04.2021,,,,,Нет,Нет,Нет,Нет,Нет,
6507,АЛЕКСАНЯН КАРИНЕ РОБЕРТОВНА,Индивидуальный предприниматель,Микропредприятие,323237500485770,231536491501,41.20 Строительство жилых и нежилых зданий,23 - Краснодарский край,,г Новороссийск,,Да,10.12.2023,,,,,Нет,Нет,Нет,Нет,Нет,
6508,АЛЕКСАНЯН КАЧАВАН ХАЧАТУРОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,320508100099418,504726046006,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,ПЕРВОМАЙСКОЕ ПОСЕЛЕНИЕ,,ПОСЕЛОК ПТИЧНОЕ,Нет,10.04.2020,10.07.2022,,,,Нет,Нет,Нет,Нет,Нет,
6509,АЛЕКСАНЯН МАРИАМ АРАРАТОВНА,Индивидуальный предприниматель,Микропредприятие,319723200079867,723000227016,41.20 Строительство жилых и нежилых зданий,72 - Тюменская область,,Город Тюмень,,Нет,10.11.2019,,,,,Нет,Нет,Нет,Нет,Нет,
6510,АЛЕКСАНЯН ОВСАННА НОРИКОВНА,Индивидуальный предприниматель,Микропредприятие,320482700015392,480702873181,41.20 Строительство жилых и нежилых зданий,48 - Липецкая область,ЕЛЕЦКИЙ РАЙОН,,СЕЛО БОЛЬШИЕ ИЗВАЛЫ,Нет,10.07.2022,,,,,Нет,Нет,Нет,Нет,Нет,
6511,АЛЕКСАНЯН РАФАЕЛ КАРЕНОВИЧ,Индивидуальный предприниматель,Микропредприятие,320222500032533,222334454005,41.20 Строительство жилых и нежилых зданий,22 - Алтайский край,,Город Барнаул,,Нет,10.11.2022,,,,,Нет,Нет,Нет,Нет,Нет,
6512,АЛЕКСАНЯН РОБЕРТ ГРАЧЯЕВИЧ,Индивидуальный предприниматель,Микропредприятие,323237500243483,231521168584,41.20 Строительство жилых и нежилых зданий,23 - Краснодарский край,,г Новороссийск,,Да,10.07.2023,,,,,Нет,Нет,Нет,Нет,Нет,
6513,АЛЕКСАНЯН РУСЛАН БАГДАСАРОВИЧ,Индивидуальный предприниматель,Микропредприятие,322237500400411,233607996449,41.20 Строительство жилых и нежилых зданий,23 - Краснодарский край,Красноармейский р-н,,х Трудобеликовский,Нет,10.12.2022,,,,,Нет,Нет,Нет,Нет,Нет,
6514,АЛЕКСАНЯН РУСЛАН БАГДАСАРОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,309233631300069,233607996449,41.20 Строительство жилых и нежилых зданий,23 - Краснодарский край,КРАСНОАРМЕЙСКИЙ РАЙОН,,ХУТОР ТРУДОБЕЛИКОВСКИЙ,Нет,01.08.2016,10.04.2021,,,,Нет,Нет,Нет,Нет,Нет,
6515,АЛЕКСАНЯН САМВЕЛ ВАНИКОВИЧ,Индивидуальный предприниматель,Микропредприятие,322565800078852,561207176678,41.20 Строительство жилых и нежилых зданий,56 - Оренбургская область,Оренбургский р-н,,х Степановский,Нет,10.11.2022,,,,,Нет,Нет,Нет,Нет,Нет,
6516,АЛЕКСАНЯН САМВЕЛ ЛЕВОНОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,318583500001467,580202949269,41.20 Строительство жилых и нежилых зданий,58 - Пензенская область,КАМЕНСКИЙ РАЙОН,,СЕЛО КАЗАНСКАЯ АРЧАДА,Нет,10.02.2018,10.06.2018,,,,Нет,Нет,Нет,Нет,Нет,
6517,АЛЕКСАНЯН СВЕДЛИК РАЗМИКОВНА,Индивидуальный предприниматель,Микропредприятие,322508100492121,502504572406,41.20 Строительство жилых и нежилых зданий,50 - Московская область,,г Лобня,,Нет,10.09.2023,,,,,Нет,Нет,Нет,Нет,Нет,
6518,АЛЕКСАНЯН СЕДРАК АШОТОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,322623400019008,623014551482,41.20 Строительство жилых и нежилых зданий,62 - Рязанская область,Рязанский р-н,,п Варские,Нет,10.06.2022,10.08.2022,,,,Нет,Нет,Нет,Нет,Нет,
6519,АЛЕКСАНЯН СОСУН,Индивидуальный предприниматель,Не является субъектом МСП,318502700067956,500915406120,41.20 Строительство жилых и нежилых зданий,50 - Московская область,,Город Домодедово,,Нет,10.01.2021,10.10.2021,,,,Нет,Нет,Нет,Нет,Нет,
6520,АЛЕКСАНЯН ФИРДУСИ ХАЧИКОВИЧ,Индивидуальный предприниматель,Микропредприятие,317507400021871,694905873651,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,МОСКОВСКИЙ ПОСЕЛЕНИЕ,,,Нет,10.01.2023,,,,,Нет,Нет,Нет,Нет,Нет,
6521,АЛЕКСАНЯН ЭДУАРД ГРАЧИКОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,315165100012460,165131600604,41.20 Строительство жилых и нежилых зданий,16 - Республика Татарстан (Татарстан),НИЖНЕКАМСКИЙ РАЙОН,ГОРОД НИЖНЕКАМСК,,Нет,01.08.2016,10.09.2018,,,,Нет,Нет,Нет,Нет,Нет,
6522,АЛЕКСАНЯН ЭДУАРД ГРАЧИКОВИЧ,Индивидуальный предприниматель,Микропредприятие,323169000257082,165131600604,41.20 Строительство жилых и нежилых зданий,16 - Республика Татарстан (Татарстан),Нижнекамский р-н,г Нижнекамск,,Да,10.12.2023,,,,,Нет,Нет,Нет,Нет,Нет,
6523,АЛЕКСАХИН АЛЕКСЕЙ НИКОЛАЕВИЧ,Индивидуальный предприниматель,Микропредприятие,319508100055507,640200161310,41.20 Строительство жилых и нежилых зданий,50 - Московская область,СЕРГИЕВ ПОСАД ГОРОД,,,Нет,10.05.2019,,,,,Нет,Нет,Нет,Нет,Нет,
6524,АЛЕКСАХИН ВЯЧЕСЛАВ АЛЕКСАНДРОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,320370200013046,772075152047,41.20 Строительство жилых и нежилых зданий,37 - Ивановская область,САВИНСКИЙ РАЙОН,,ПОСЕЛОК САВИНО,Нет,10.04.2020,10.07.2021,,,,Нет,Нет,Нет,Нет,Нет,
6525,АЛЕКСАХИНА МАРИНА АЛЕКСАНДРОВНА,Индивидуальный предприниматель,Не является субъектом МСП,311110104200015,111603492787,41.20 Строительство жилых и нежилых зданий,11 - Республика Коми,Сыктывдинский Район,,Деревня Савапиян,Нет,01.08.2016,10.05.2020,,,,Нет,Нет,Нет,Нет,Нет,
6526,АЛЕКСАШИН АЛЕКСАНДР ВЛАДИМИРОВИЧ,Индивидуальный предприниматель,Микропредприятие,318502700031578,580300069375,41.20 Строительство жилых и нежилых зданий,50 - Московская область,,ГОРОД ВИДНОЕ,РАБОЧИЙ ПОСЕЛОК БУТОВО,Нет,10.05.2018,,,,,Нет,Нет,Нет,Нет,Нет,
6527,АЛЕКСАШИН БОРИС АЛЕКСАНДРОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,317237500084670,231005897655,41.20 Строительство жилых и нежилых зданий,23 - Краснодарский край,,ГОРОД КРАСНОДАР,,Нет,10.04.2017,10.08.2019,,,,Нет,Нет,Нет,Нет,Нет,
6528,АЛЕКСАШИН ИВАН ВЛАДИМИРОВИЧ,Индивидуальный предприниматель,Микропредприятие,318774600249942,580304221581,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,Нет,10.06.2018,,,,,Нет,Нет,Нет,Нет,Нет,
6529,АЛЕКСЕВНИН МИХАИЛ ГЕННАДИЕВИЧ,Индивидуальный предприниматель,Микропредприятие,322645700074805,645406845909,41.20 Строительство жилых и нежилых зданий,64 - Саратовская область,,г Саратов,,Нет,10.10.2022,,,,,Нет,Нет,Нет,Нет,Нет,
6530,АЛЕКСЕВНИН МИХАИЛ ГЕННАДИЕВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,319645100005737,645406845909,41.20 Строительство жилых и нежилых зданий,64 - Саратовская область,,ГОРОД САРАТОВ,,Нет,10.02.2019,10.07.2020,,,,Нет,Нет,Нет,Нет,Нет,
6531,АЛЕКСЕЕВ АЛЕКСАНДР АЛЕКСАНДРОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,319784700343691,780107555397,41.20 Строительство жилых и нежилых зданий,78 - г.Санкт-Петербург,,,,Нет,10.11.2019,10.08.2021,,,,Нет,Нет,Нет,Нет,Нет,
6532,АЛЕКСЕЕВ АЛЕКСАНДР АЛЕКСАНДРОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,317595800132348,594809253081,41.20 Строительство жилых и нежилых зданий,59 - Пермский край,ПЕРМСКИЙ РАЙОН,,СЕЛО УСТЬ-КАЧКА,Нет,10.01.2018,10.08.2019,,,,Нет,Нет,Нет,Нет,Нет,
6533,АЛЕКСЕЕВ АЛЕКСАНДР АЛЕКСАНДРОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,315144700024841,142701055835,41.20 Строительство жилых и нежилых зданий,14 - Республика Саха (Якутия),,ГОРОД ЯКУТСК,,Нет,01.08.2016,10.02.2020,,,,Нет,Нет,Нет,Нет,Нет,
6534,АЛЕКСЕЕВ АЛЕКСАНДР АЛЕКСАНДРОВИЧ,Индивидуальный предприниматель,Микропредприятие,321144700048706,142701055835,41.20 Строительство жилых и нежилых зданий,14 - Республика Саха (Якутия),,г Якутск,,Нет,10.10.2021,,,,,Нет,Нет,Нет,Нет,Нет,
6535,Алексеев Александр Алексеевич,Индивидуальный предприниматель,Не является субъектом МСП,304230123700155,230100913400,41.20 Строительство жилых и нежилых зданий,23 - Краснодарский край,Анапский Район,,Станица Анапская,Нет,01.08.2016,10.09.2017,,,,Нет,Нет,Нет,Нет,Нет,
6536,АЛЕКСЕЕВ АЛЕКСАНДР АНАТОЛЬЕВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,318554300036863,551500885020,41.20 Строительство жилых и нежилых зданий,55 - Омская область,НОВОВАРШАВСКИЙ РАЙОН,,ДЕРЕВНЯ РУСАНОВКА,Нет,10.05.2018,10.09.2018,,,,Нет,Нет,Нет,Нет,Нет,
6537,АЛЕКСЕЕВ АЛЕКСАНДР АНАТОЛЬЕВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,316774600122425,504603057583,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,ГОРОД ТРОИЦК,,Нет,01.08.2016,10.01.2021,,,,Нет,Нет,Нет,Нет,Нет,
6538,АЛЕКСЕЕВ АЛЕКСАНДР АНАТОЛЬЕВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,304263533800678,263500960135,41.2 Строительство жилых и нежилых зданий,26 - Ставропольский край,,ГОРОД СТАВРОПОЛЬ,,Нет,01.08.2016,10.02.2021,,,,Нет,Нет,Нет,Нет,Нет,
6539,АЛЕКСЕЕВ АЛЕКСАНДР АНАТОЛЬЕВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,322547600111861,540228747494,41.20 Строительство жилых и нежилых зданий,54 - Новосибирская область,,г Новосибирск,,Нет,10.09.2022,10.07.2023,,,,Нет,Нет,Нет,Нет,Нет,
6540,АЛЕКСЕЕВ АЛЕКСАНДР АНДРЕЕВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,318532100028308,531200936923,41.20 Строительство жилых и нежилых зданий,53 - Новгородская область,ПАРФИНСКИЙ РАЙОН,,РАБОЧИЙ ПОСЕЛОК ПАРФИНО,Нет,10.11.2018,10.03.2024,,,,Нет,Нет,Нет,Нет,Нет,
6541,АЛЕКСЕЕВ АЛЕКСАНДР АРСЕНТЬЕВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,322220200090014,860400802129,41.20 Строительство жилых и нежилых зданий,22 - Алтайский край,Первомайский р-н,,с Повалиха,Нет,10.12.2022,10.12.2023,,,,Нет,Нет,Нет,Нет,Нет,
6542,АЛЕКСЕЕВ АЛЕКСАНДР БОРИСОВИЧ,Индивидуальный предприниматель,Микропредприятие,321784700287473,781699741577,41.20 Строительство жилых и нежилых зданий,78 - г.Санкт-Петербург,,,,Нет,10.08.2023,,,,,Нет,Нет,Нет,Нет,Нет,
6543,АЛЕКСЕЕВ АЛЕКСАНДР БОРИСОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,317583500029242,583605278259,41.20 Строительство жилых и нежилых зданий,58 - Пензенская область,,ГОРОД ПЕНЗА,,Нет,10.07.2017,10.02.2018,,,,Нет,Нет,Нет,Нет,Нет,
6544,АЛЕКСЕЕВ АЛЕКСАНДР ВЕНИАМИНОВИЧ,Индивидуальный предприниматель,Микропредприятие,323210000020636,211502891210,41.20 Строительство жилых и нежилых зданий,21 - Чувашская Республика - Чувашия,Цивильский р-н,г Цивильск,,Да,10.05.2023,,,,,Нет,Нет,Нет,Нет,Нет,
6545,АЛЕКСЕЕВ АЛЕКСАНДР ВИТАЛЬЕВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,316532100053619,532006046953,41.20 Строительство жилых и нежилых зданий,53 - Новгородская область,БОРОВИЧСКИЙ РАЙОН,ГОРОД БОРОВИЧИ,,Нет,01.08.2016,10.12.2016,,,,Нет,Нет,Нет,Нет,Нет,
6546,АЛЕКСЕЕВ АЛЕКСАНДР ВЛАДИМИРОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,304234436600250,234400161766,41.20 Строительство жилых и нежилых зданий,23 - Краснодарский край,НОВОПОКРОВСКИЙ РАЙОН,,СТАНИЦА НОВОПОКРОВСКАЯ,Нет,01.08.2016,10.04.2017,,,,Нет,Нет,Нет,Нет,Нет,
6547,АЛЕКСЕЕВ АЛЕКСАНДР ВЯЧЕСЛАВОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,322402700011871,402706493384,41.20 Строительство жилых и нежилых зданий,40 - Калужская область,,г Калуга,,Нет,10.04.2022,10.10.2023,,,,Нет,Нет,Нет,Нет,Нет,
6548,АЛЕКСЕЕВ АЛЕКСАНДР ВЯЧЕСЛАВОВИЧ,Индивидуальный предприниматель,Микропредприятие,323400000033262,402706493384,41.20 Строительство жилых и нежилых зданий,40 - Калужская область,,г Калуга,,Да,10.11.2023,,,,,Нет,Нет,Нет,Нет,Нет,
6549,АЛЕКСЕЕВ АЛЕКСАНДР ВЯЧЕСЛАВОВИЧ,Индивидуальный предприниматель,Микропредприятие,323402700010813,402571306319,41.20 Строительство жилых и нежилых зданий,40 - Калужская область,,г Обнинск,,Да,10.04.2023,,,,,Нет,Нет,Нет,Нет,Нет,
6550,АЛЕКСЕЕВ АЛЕКСАНДР ВЯЧЕСЛАВОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,318402700061215,402706493384,41.20 Строительство жилых и нежилых зданий,40 - Калужская область,,ГОРОД КАЛУГА,,Нет,10.11.2018,10.01.2020,,,,Нет,Нет,Нет,Нет,Нет,
6551,АЛЕКСЕЕВ АЛЕКСАНДР ГЕОРГИЕВИЧ,Индивидуальный предприниматель,Микропредприятие,322213000028715,211604598161,41.20 Строительство жилых и нежилых зданий,21 - Чувашская Республика - Чувашия,Чебоксарский р-н,,д Новые Тренькасы,Нет,10.07.2022,,,,,Нет,Нет,Нет,Нет,Нет,
6552,АЛЕКСЕЕВ АЛЕКСАНДР МИХАЙЛОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,322530000015860,530701320548,41.20 Строительство жилых и нежилых зданий,53 - Новгородская область,Маловишерский р-н,,д Любцы,Нет,10.08.2022,10.07.2023,,,,Нет,Нет,Нет,Нет,Нет,
6553,АЛЕКСЕЕВ АЛЕКСАНДР МИХАЙЛОВИЧ,Индивидуальный предприниматель,Микропредприятие,306213221200023,212000045430,41.2 Строительство жилых и нежилых зданий,21 - Чувашская Республика - Чувашия,ЯЛЬЧИКСКИЙ РАЙОН,,СЕЛО САБАНЧИНО,Нет,10.08.2022,,,,,Нет,Нет,Нет,Нет,Нет,
6554,АЛЕКСЕЕВ АЛЕКСАНДР НИКОЛАЕВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,316366800063871,362505050042,41.20 Строительство жилых и нежилых зданий,36 - Воронежская область,РАМОНСКИЙ РАЙОН,,СЕЛО НОВОЖИВОТИННОЕ,Нет,01.08.2016,10.11.2016,,,,Нет,Нет,Нет,Нет,Нет,
6555,АЛЕКСЕЕВ АЛЕКСАНДР НИКОЛАЕВИЧ,Индивидуальный предприниматель,Микропредприятие,319144700012041,143501788900,41.20 Строительство жилых и нежилых зданий,14 - Республика Саха (Якутия),,Город Якутск,,Нет,10.04.2019,,,,,Нет,Нет,Нет,Нет,Нет,
6556,АЛЕКСЕЕВ АЛЕКСАНДР СЕРГЕЕВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,315784700025600,781700190937,41.20 Строительство жилых и нежилых зданий,78 - г.Санкт-Петербург,,ГОРОД КОЛПИНО,,Нет,01.08.2016,10.09.2018,,,,Нет,Нет,Нет,Нет,Нет,
6557,АЛЕКСЕЕВ АЛЕКСАНДР СЕРГЕЕВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,305143504100187,143501972762,41.20 Строительство жилых и нежилых зданий,14 - Республика Саха (Якутия),,Город Якутск,,Нет,01.08.2016,10.08.2017,,,,Нет,Нет,Нет,Нет,Нет,
6558,АЛЕКСЕЕВ АЛЕКСАНДР СТЕПАНОВИЧ,Индивидуальный предприниматель,Микропредприятие,318144700008125,141700305103,41.20 Строительство жилых и нежилых зданий,14 - Республика Саха (Якутия),НАМСКИЙ УЛУС,,СЕЛО НАМЦЫ,Нет,10.03.2018,,,,,Нет,Нет,Нет,Нет,Нет,
6559,АЛЕКСЕЕВ АЛЕКСЕЙ АЛЕКСАНДРОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,321547600091391,543852094187,41.10 Разработка строительных проектов,54 - Новосибирская область,Тогучинский р-н,,рп Горный,Нет,10.07.2021,10.07.2022,,,,Нет,Нет,Нет,Нет,Нет,
6560,АЛЕКСЕЕВ АЛЕКСЕЙ АЛЕКСАНДРОВИЧ,Индивидуальный предприниматель,Микропредприятие,316532100069479,532001467669,41.20 Строительство жилых и нежилых зданий,53 - Новгородская область,БОРОВИЧСКИЙ РАЙОН,,ПОСЕЛОК ТРАВКОВО,Нет,10.09.2016,,,,,Нет,Нет,Нет,Нет,Нет,
6561,АЛЕКСЕЕВ АЛЕКСЕЙ АЛЕКСАНДРОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,319028000143060,22903010648,41.20 Строительство жилых и нежилых зданий,02 - Республика Башкортостан,КАРМАСКАЛИНСКИЙ РАЙОН,,ДЕРЕВНЯ КОНСТАНТИНОВКА,Нет,10.10.2019,10.01.2024,,,,Нет,Нет,Нет,Нет,Нет,
6562,АЛЕКСЕЕВ АЛЕКСЕЙ АЛЕКСЕЕВИЧ,Индивидуальный предприниматель,Микропредприятие,323547600092340,542706434355,41.20 Строительство жилых и нежилых зданий,54 - Новосибирская область,Краснозерский р-н,,с Майское,Да,10.07.2023,,,,,Нет,Нет,Нет,Нет,Нет,
6563,АЛЕКСЕЕВ АЛЕКСЕЙ АЛЕКСЕЕВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,320352500024451,352819033958,41.20 Строительство жилых и нежилых зданий,35 - Вологодская область,,ГОРОД ЧЕРЕПОВЕЦ,,Нет,10.08.2020,10.07.2022,,,,Нет,Нет,Нет,Нет,Нет,
6564,АЛЕКСЕЕВ АЛЕКСЕЙ АНАТОЛЬЕВИЧ,Индивидуальный предприниматель,Микропредприятие,319774600170546,773410529446,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,Нет,10.04.2019,,,,,Нет,Нет,Нет,Нет,Нет,
6565,АЛЕКСЕЕВ АЛЕКСЕЙ АНАТОЛЬЕВИЧ,Индивидуальный предприниматель,Микропредприятие,314250622000012,250600855220,41.20 Строительство жилых и нежилых зданий,25 - Приморский край,,ГОРОД ДАЛЬНЕРЕЧЕНСК,СЕЛО ЛАЗО,Нет,01.08.2016,,,,,Нет,Нет,Нет,Нет,Нет,
6566,АЛЕКСЕЕВ АЛЕКСЕЙ АНАТОЛЬЕВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,318505300005872,505308007347,41.20 Строительство жилых и нежилых зданий,50 - Московская область,,ГОРОД ЭЛЕКТРОСТАЛЬ,,Нет,10.02.2018,10.05.2021,,,,Нет,Нет,Нет,Нет,Нет,
